Date,Open,High,Low,Close,Adj Close,Volume
2010-09-07,32.057026,32.057026,31.288950,31.652775,26.948092,3877000
2010-09-08,31.693199,32.461273,31.491076,32.259151,27.464342,5852600
2010-09-09,32.461273,32.905949,32.016602,32.259151,27.464342,4212500
2010-09-10,32.097450,32.663399,31.814474,32.016602,27.257839,5931000
2010-09-13,32.340000,33.552750,32.218723,33.471901,28.496838,7679200
2010-09-14,33.269775,33.633598,32.825100,33.350624,28.393581,4696600
2010-09-15,33.350624,33.876148,32.825100,33.795300,28.772161,6709900
2010-09-16,33.795300,34.037849,33.310200,33.997425,28.944252,5165600
2010-09-17,34.159126,34.320824,33.350624,33.876148,28.840990,6438100
2010-09-20,33.957001,34.159126,33.552750,34.159126,29.081913,5069300
2010-09-21,33.957001,34.199551,33.512325,33.674026,28.668907,4657100
2010-09-22,33.552750,33.835724,33.229351,33.512325,28.531242,3558100
2010-09-23,33.108074,33.997425,32.986801,33.876148,28.840990,5192100
2010-09-24,34.159126,35.331451,33.997425,35.088902,29.873486,8178200
2010-09-27,34.886776,35.048473,34.522949,34.684650,29.529322,4403900
2010-09-28,34.644226,34.765499,33.957001,34.684650,29.529322,5338900
2010-09-29,34.361252,34.725075,34.159126,34.603802,29.460497,3678400
2010-09-30,34.603802,35.088902,33.876148,34.482525,29.357246,4195100
2010-10-01,34.603802,34.967625,34.320824,34.603802,29.460497,3941600
2010-10-04,34.442101,34.846352,33.714451,34.199551,29.116335,5255200
2010-10-05,34.037849,34.967625,34.037849,34.927200,29.735826,5759200
2010-10-06,34.482525,35.250599,34.118698,34.603802,29.460497,6823400
2010-10-07,34.765499,35.008049,34.078274,34.725075,29.563744,5041400
2010-10-08,34.199551,34.199551,33.229351,33.552750,28.565662,10637600
2010-10-11,33.471901,33.876148,33.310200,33.512325,28.531242,6051900
2010-10-12,33.350624,33.552750,32.501701,32.865524,27.980577,11937900
2010-10-13,32.986801,33.188927,32.663399,32.825100,27.946175,8477400
2010-10-14,32.703827,32.905949,31.854900,32.178299,27.395508,8487600
2010-10-15,32.542126,32.663399,31.935749,32.137875,27.361088,8254100
2010-10-18,31.814474,32.057026,31.248526,31.895325,27.154591,8935000
2010-10-19,31.571924,32.380424,31.329374,31.895325,27.154591,8517200
2010-10-20,32.137875,32.420849,31.976175,32.178299,27.395508,5196700
2010-10-21,32.218723,32.340000,31.127251,31.369801,26.707176,7995700
2010-10-22,31.329374,32.016602,31.288950,31.652775,26.948092,4804700
2010-10-25,31.774050,32.340000,31.693199,32.057026,27.292255,3911800
2010-10-26,31.854900,32.461273,31.774050,31.774050,27.051338,5380400
2010-10-27,32.097450,32.865524,31.895325,32.703827,27.842924,12323400
2010-10-28,34.442101,35.210175,32.703827,32.865524,27.980577,22604000
2010-10-29,32.703827,33.229351,32.461273,32.986801,28.083838,6123800
2010-11-01,32.905949,33.350624,32.218723,32.420849,27.601997,6076000
2010-11-02,32.622974,32.703827,31.814474,32.340000,27.533173,14025800
2010-11-03,32.784676,32.784676,31.935749,32.542126,27.705250,7236700
2010-11-04,32.784676,32.865524,32.420849,32.744251,27.877337,5803200
2010-11-05,32.703827,33.188927,32.542126,33.148499,28.221500,4015000
2010-11-08,32.986801,33.471901,32.622974,32.946377,28.049421,4395900
2010-11-09,32.986801,33.471901,32.744251,33.188927,28.255915,6265600
2010-11-10,33.027225,33.188927,32.582550,33.148499,28.221500,4376200
2010-11-11,32.501701,32.946377,31.652775,32.744251,27.877337,10772600
2010-11-12,32.542126,32.703827,32.016602,32.299576,27.498758,4734000
2010-11-15,32.986801,33.148499,32.057026,32.097450,27.326670,5972500
2010-11-16,32.461273,32.501701,31.491076,31.571924,26.879259,6135500
2010-11-17,31.652775,32.259151,31.571924,31.976175,27.223427,5391000
2010-11-18,32.420849,32.986801,32.259151,32.905949,28.014999,5482300
2010-11-19,32.703827,33.108074,32.461273,32.825100,27.946175,5695500
2010-11-22,32.542126,32.905949,32.137875,32.703827,27.842924,4738800
2010-11-23,32.259151,32.380424,31.571924,31.774050,27.051338,7189900
2010-11-24,31.935749,32.340000,31.693199,32.057026,27.292255,5388000
2010-11-26,31.652775,31.854900,31.571924,31.612350,26.913673,1834200
2010-11-29,31.491076,31.733625,31.127251,31.410225,26.741594,5486400
2010-11-30,31.167675,31.531500,30.925125,30.965549,26.363008,7474200
2010-12-01,31.814474,33.148499,31.612350,32.380424,27.567589,14118900
2010-12-02,31.895325,32.380424,31.814474,32.218723,27.429922,12972400
2010-12-03,32.057026,33.391048,31.733625,33.310200,28.359171,15729800
2010-12-06,32.946377,33.512325,32.946377,33.108074,28.187084,8428400
2010-12-07,33.148499,33.350624,32.663399,32.703827,27.842924,5884300
2010-12-08,32.703827,33.431477,32.622974,33.269775,28.324751,6480000
2010-12-09,33.148499,33.957001,32.905949,33.714451,28.703335,6174000
2010-12-10,33.674026,35.129326,33.633598,34.927200,29.735826,16579400
2010-12-13,34.967625,35.331451,34.078274,34.199551,29.116335,9971800
2010-12-14,33.916576,34.482525,33.876148,34.199551,29.116335,5425300
2010-12-15,33.916576,34.522949,33.754875,34.239975,29.150747,7405900
2010-12-16,34.280399,36.180374,34.280399,35.897400,30.561819,21320500
2010-12-17,35.816551,36.018677,35.371876,35.897400,30.561819,9365500
2010-12-20,35.897400,36.180374,35.210175,35.897400,30.561819,7319000
2010-12-21,35.978249,37.029301,35.695274,36.382500,30.974823,7528700
2010-12-22,36.220798,37.110149,36.139950,36.746326,31.284565,7314400
2010-12-23,36.746326,37.029301,36.382500,36.584625,31.146906,5411700
2010-12-27,36.705898,36.746326,35.897400,36.342075,30.940399,3100500
2010-12-28,36.220798,36.584625,36.099525,36.220798,30.837145,2419000
